# of reswap (Attack Round),Swaps to break w/ Reswap (k'),Time to Attack (days),Simulation Results
0,4,859.7167455,855.1099537
50,4,985.3394486,981.787037
100,4,1137.885281,1133.46875
150,4,1317.452445,1312.199074
200,4,1538.424873,1541.956019
250,4,1802.290316,1800.983796
300,4,2132.067891,2119.537037
350,4,2532.515016,2531.006944
400,4,3042.211809,3051.689815
450,4,3673.571562,3686.863426
500,4,4494.92061,4493.090278
550,3,10.42383506,10.43009259
600,3,12.33112495,12.325
650,3,14.68440062,14.66712963
700,3,17.74157281,17.72604167
750,3,21.62730967,21.63472222
800,3,26.84868362,26.84791667
850,3,33.74612649,33.65532407
900,3,43.43796359,43.32002315
950,3,56.92599149,57.22280093
1000,3,77.08975974,76.81388889
1050,3,107.3192964,107.4253472
1100,2,0.1591597041,0.1586377315
1150,2,0.2113259878,0.2129354167
1200,2,0.2961198584,0.2949621528
1250,2,0.4408373775,0.4386501157
1300,2,0.7327790996,0.7385270833
1350,2,1.42953722,1.44087037
1400,2,4.029543339,4.091734954
