0       800	    2954	1.05E-08
50	    875	    2897	9.71E-09
100	    950	    2841	8.98E-09
150	    1025	2784	8.28E-09
200	    1100	2728	7.64E-09
250	    1175	2671	7.02E-09
300	    1250	2615	1.30E-06
350	    1325	2558	1.21E-06
400	    1400	2502	1.14E-06
450	    1475	2445	1.06E-06
500	    1550	2389	9.90E-07
550	    1625	2332	1.55E-04
600	    1700	2276	1.48E-04
650	    1775	2219	1.41E-04
700	    1850	2163	1.34E-04
750	    1925	2106	1.27E-04
800	    2000	2050	1.54E-02
850	    2075	1993	1.50E-02
900	    2150	1936	1.46E-02
950	    2225	1880	1.41E-02
1000	2300	1823	1.37E-02
1050	2375	1767	1.33E-02
1100	2450	1710	9.87E-01
