0	    1600	1578	8.62E-10
50	    1675	1525	7.52E-10
100	    1750	1471	6.51E-10
150	    1825	1418	5.62E-10
200	    1900	1364	4.81E-10
250	    1975	1311	4.11E-10
300	    2050	1257	3.47E-10
350	    2125	1204	2.92E-10
400	    2200	1150	2.43E-10
450	    2275	1097	2.02E-10
500	    2350	1043	1.65E-10
550	    2425	990	    7.11E-08
600	    2500	936	    6.01E-08
650	    2575	883	    5.04E-08
700	    2650	829	    4.18E-08
750	    2725	776	    3.43E-08
800	    2800	722	    2.76E-08
850	    2875	669	    2.20E-08
900	    2950	615	    1.71E-08
950	    3025	562	    1.30E-08
1000	3100	508	    9.61E-09
1050	3175	455	    6.90E-09
1100	3250	401	    4.65E-06
1150	3325	348	    3.51E-06
1200	3400	294	    2.50E-06
1250	3475	241	    1.68E-06
1300	3550	187	    1.01E-06
1350	3625	134	    5.18E-07
1400	3700	80	    1.84E-07
